          act_type: 'tanh'
            l_rate: 0.1000
             beta1: 0
        numint_its: 300
            epochs: 2000
            d_rate: 0
          int_step: 0.0500
          lr_decay: 0.1000
    rate_decay_win: 100
       layer_sizes: [400 250 100 10 10]
          n_layers: 5
               var: [1 1 1 1 1]
         timestamp: '0305_145754'
             log_f: 3

Epoch 1 | Cost: 2.343008e+00
Epoch 2 | Cost: 2.327040e+00
Epoch 3 | Cost: 2.311329e+00
Epoch 4 | Cost: 2.295854e+00
Epoch 5 | Cost: 2.280595e+00
Epoch 6 | Cost: 2.265535e+00
Epoch 7 | Cost: 2.250660e+00
Epoch 8 | Cost: 2.235957e+00
Epoch 9 | Cost: 2.221415e+00
Epoch 10 | Cost: 2.207022e+00
Epoch 11 | Cost: 2.192771e+00
Epoch 12 | Cost: 2.178654e+00
Epoch 13 | Cost: 2.164662e+00
Epoch 14 | Cost: 2.150791e+00
Epoch 15 | Cost: 2.137035e+00
Epoch 16 | Cost: 2.123389e+00
Epoch 17 | Cost: 2.109849e+00
Epoch 18 | Cost: 2.096412e+00
Epoch 19 | Cost: 2.083074e+00
Epoch 20 | Cost: 2.069835e+00
Epoch 21 | Cost: 2.056690e+00
Epoch 22 | Cost: 2.043640e+00
Epoch 23 | Cost: 2.030682e+00
Epoch 24 | Cost: 2.017815e+00
Epoch 25 | Cost: 2.005040e+00
Epoch 26 | Cost: 1.992355e+00
Epoch 27 | Cost: 1.979761e+00
Epoch 28 | Cost: 1.967256e+00
Epoch 29 | Cost: 1.954841e+00
Epoch 30 | Cost: 1.942516e+00
Epoch 31 | Cost: 1.930281e+00
Epoch 32 | Cost: 1.918136e+00
Epoch 33 | Cost: 1.906081e+00
Epoch 34 | Cost: 1.894115e+00
Epoch 35 | Cost: 1.882240e+00
Epoch 36 | Cost: 1.870455e+00
Epoch 37 | Cost: 1.858760e+00
Epoch 38 | Cost: 1.847154e+00
Epoch 39 | Cost: 1.835639e+00
Epoch 40 | Cost: 1.824213e+00
Epoch 41 | Cost: 1.812876e+00
Epoch 42 | Cost: 1.801629e+00
Epoch 43 | Cost: 1.790471e+00
Epoch 44 | Cost: 1.779402e+00
Epoch 45 | Cost: 1.768421e+00
Epoch 46 | Cost: 1.757528e+00
Epoch 47 | Cost: 1.746723e+00
Epoch 48 | Cost: 1.736005e+00
Epoch 49 | Cost: 1.725374e+00
Epoch 50 | Cost: 1.714830e+00
Epoch 51 | Cost: 1.704373e+00
Epoch 52 | Cost: 1.694001e+00
Epoch 53 | Cost: 1.683715e+00
Epoch 54 | Cost: 1.673514e+00
Epoch 55 | Cost: 1.663397e+00
Epoch 56 | Cost: 1.653365e+00
Epoch 57 | Cost: 1.643417e+00
Epoch 58 | Cost: 1.633552e+00
Epoch 59 | Cost: 1.623769e+00
Epoch 60 | Cost: 1.614070e+00
Epoch 61 | Cost: 1.604452e+00
Epoch 62 | Cost: 1.594915e+00
Epoch 63 | Cost: 1.585460e+00
Epoch 64 | Cost: 1.576085e+00
Epoch 65 | Cost: 1.566791e+00
Epoch 66 | Cost: 1.557576e+00
Epoch 67 | Cost: 1.548441e+00
Epoch 68 | Cost: 1.539385e+00
Epoch 69 | Cost: 1.530407e+00
Epoch 70 | Cost: 1.521508e+00
Epoch 71 | Cost: 1.512686e+00
Epoch 72 | Cost: 1.503942e+00
Epoch 73 | Cost: 1.495276e+00
Epoch 74 | Cost: 1.486687e+00
Epoch 75 | Cost: 1.478174e+00
Epoch 76 | Cost: 1.469738e+00
Epoch 77 | Cost: 1.461378e+00
Epoch 78 | Cost: 1.453095e+00
Epoch 79 | Cost: 1.444887e+00
Epoch 80 | Cost: 1.436756e+00
Epoch 81 | Cost: 1.428700e+00
Epoch 82 | Cost: 1.420719e+00
Epoch 83 | Cost: 1.412814e+00
Epoch 84 | Cost: 1.404983e+00
Epoch 85 | Cost: 1.397228e+00
Epoch 86 | Cost: 1.389547e+00
Epoch 87 | Cost: 1.381941e+00
Epoch 88 | Cost: 1.374408e+00
Epoch 89 | Cost: 1.366950e+00
Epoch 90 | Cost: 1.359565e+00
Epoch 91 | Cost: 1.352253e+00
Epoch 92 | Cost: 1.345013e+00
Epoch 93 | Cost: 1.337846e+00
Epoch 94 | Cost: 1.330751e+00
Epoch 95 | Cost: 1.323727e+00
Epoch 96 | Cost: 1.316773e+00
Epoch 97 | Cost: 1.309890e+00
Epoch 98 | Cost: 1.303076e+00
Epoch 99 | Cost: 1.296331e+00
Epoch 100 | Cost: 1.289655e+00
Epoch 101 | Cost: 1.283046e+00
Epoch 102 | Cost: 1.276504e+00
Epoch 103 | Cost: 1.270028e+00
Epoch 104 | Cost: 1.263617e+00
Epoch 105 | Cost: 1.257272e+00
Epoch 106 | Cost: 1.250990e+00
Epoch 107 | Cost: 1.244771e+00
Epoch 108 | Cost: 1.238615e+00
Epoch 109 | Cost: 1.232521e+00
Epoch 110 | Cost: 1.226487e+00
Epoch 111 | Cost: 1.220514e+00
Epoch 112 | Cost: 1.214601e+00
Epoch 113 | Cost: 1.208746e+00
Epoch 114 | Cost: 1.202949e+00
Epoch 115 | Cost: 1.197210e+00
Epoch 116 | Cost: 1.191527e+00
Epoch 117 | Cost: 1.185901e+00
Epoch 118 | Cost: 1.180329e+00
Epoch 119 | Cost: 1.174813e+00
Epoch 120 | Cost: 1.169350e+00
Epoch 121 | Cost: 1.163941e+00
Epoch 122 | Cost: 1.158585e+00
Epoch 123 | Cost: 1.153281e+00
Epoch 124 | Cost: 1.148028e+00
Epoch 125 | Cost: 1.142827e+00
Epoch 126 | Cost: 1.137675e+00
Epoch 127 | Cost: 1.132574e+00
Epoch 128 | Cost: 1.127522e+00
Epoch 129 | Cost: 1.122518e+00
Epoch 130 | Cost: 1.117563e+00
Epoch 131 | Cost: 1.112655e+00
Epoch 132 | Cost: 1.107794e+00
Epoch 133 | Cost: 1.102980e+00
Epoch 134 | Cost: 1.098212e+00
Epoch 135 | Cost: 1.093489e+00
Epoch 136 | Cost: 1.088811e+00
Epoch 137 | Cost: 1.084177e+00
Epoch 138 | Cost: 1.079587e+00
Epoch 139 | Cost: 1.075041e+00
Epoch 140 | Cost: 1.070538e+00
Epoch 141 | Cost: 1.066077e+00
Epoch 142 | Cost: 1.061658e+00
Epoch 143 | Cost: 1.057280e+00
Epoch 144 | Cost: 1.052944e+00
Epoch 145 | Cost: 1.048648e+00
Epoch 146 | Cost: 1.044392e+00
Epoch 147 | Cost: 1.040176e+00
Epoch 148 | Cost: 1.035999e+00
Epoch 149 | Cost: 1.031861e+00
Epoch 150 | Cost: 1.027761e+00
Epoch 151 | Cost: 1.023699e+00
Epoch 152 | Cost: 1.019675e+00
Epoch 153 | Cost: 1.015687e+00
Epoch 154 | Cost: 1.011737e+00
Epoch 155 | Cost: 1.007823e+00
Epoch 156 | Cost: 1.003945e+00
Epoch 157 | Cost: 1.000102e+00
Epoch 158 | Cost: 9.962952e-01
Epoch 159 | Cost: 9.925230e-01
Epoch 160 | Cost: 9.887853e-01
Epoch 161 | Cost: 9.850819e-01
Epoch 162 | Cost: 9.814125e-01
Epoch 163 | Cost: 9.777767e-01
