          act_type: 'tanh'
            l_rate: 0.8000
             beta1: 0.7500
        numint_its: 300
            epochs: 1000
            d_rate: 0
          int_step: 0.0500
          lr_decay: 0.1000
    rate_decay_win: 50
       layer_sizes: [400 250 100 10 10]
          n_layers: 5
               var: [1 1 1 1 10]
         timestamp: '0305_152157'
             log_f: 3

Epoch 1 | Cost: 1.803168e+00
Epoch 2 | Cost: 1.533803e+00
Epoch 3 | Cost: 1.190387e+00
Epoch 4 | Cost: 1.979193e+00
Epoch 5 | Cost: 1.764430e+00
Epoch 6 | Cost: 2.261571e+00
Epoch 7 | Cost: 3.007009e+00
Epoch 8 | Cost: 2.759938e+00
Epoch 9 | Cost: 4.119887e+00
Epoch 10 | Cost: 6.001452e+00
Epoch 11 | Cost: 8.086953e+00
Epoch 12 | Cost: 1.066859e+01
Epoch 13 | Cost: 1.091544e+01
Epoch 14 | Cost: 1.133683e+01
Epoch 15 | Cost: 1.023278e+01
Epoch 16 | Cost: 1.256608e+01
Epoch 17 | Cost: 1.450665e+01
Epoch 18 | Cost: 1.062728e+01
Epoch 19 | Cost: 1.046423e+01
Epoch 20 | Cost: 1.360100e+01
Epoch 21 | Cost: 1.511271e+01
Epoch 22 | Cost: 1.473714e+01
Epoch 23 | Cost: 1.330143e+01
Epoch 24 | Cost: 1.443413e+01
Epoch 25 | Cost: 1.414227e+01
Epoch 26 | Cost: 1.637037e+01
Epoch 27 | Cost: 1.951895e+01
Epoch 28 | Cost: 2.092225e+01
Epoch 29 | Cost: 2.262979e+01
Epoch 30 | Cost: 2.402988e+01
Epoch 31 | Cost: 2.472717e+01
Epoch 32 | Cost: 2.454185e+01
Epoch 33 | Cost: 2.458464e+01
Epoch 34 | Cost: 2.454391e+01
Epoch 35 | Cost: 2.426300e+01
Epoch 36 | Cost: 2.384039e+01
Epoch 37 | Cost: 2.344195e+01
Epoch 38 | Cost: 2.291897e+01
Epoch 39 | Cost: 2.209613e+01
Epoch 40 | Cost: 2.097576e+01
Epoch 41 | Cost: 1.950902e+01
Epoch 42 | Cost: 1.736785e+01
Epoch 43 | Cost: 1.485411e+01
Epoch 44 | Cost: 1.501355e+01
Epoch 45 | Cost: 7.700817e+00
Epoch 46 | Cost: 1.061712e+01
Epoch 47 | Cost: 1.046529e+01
Epoch 48 | Cost: 1.102613e+01
Epoch 49 | Cost: 1.125164e+01
Epoch 50 | Cost: 8.261160e+00
Epoch 51 | Cost: 6.404332e+00
Epoch 52 | Cost: 6.340701e+00
Epoch 53 | Cost: 6.404913e+00
New learning rate: 0.08000
Epoch 54 | Cost: 5.924234e+00
Epoch 55 | Cost: 5.351911e+00
Epoch 56 | Cost: 5.032663e+00
Epoch 57 | Cost: 4.829710e+00
Epoch 58 | Cost: 4.521672e+00
Epoch 59 | Cost: 4.104640e+00
Epoch 60 | Cost: 3.715357e+00
Epoch 61 | Cost: 3.460032e+00
Epoch 62 | Cost: 3.309871e+00
Epoch 63 | Cost: 3.145056e+00
Epoch 64 | Cost: 2.950392e+00
Epoch 65 | Cost: 2.790484e+00
Epoch 66 | Cost: 2.676734e+00
Epoch 67 | Cost: 2.596001e+00
Epoch 68 | Cost: 2.537707e+00
Epoch 69 | Cost: 2.482563e+00
Epoch 70 | Cost: 2.429191e+00
Epoch 71 | Cost: 2.388261e+00
Epoch 72 | Cost: 2.356480e+00
Epoch 73 | Cost: 2.326653e+00
Epoch 74 | Cost: 2.297325e+00
Epoch 75 | Cost: 2.269728e+00
Epoch 76 | Cost: 2.244659e+00
Epoch 77 | Cost: 2.221411e+00
Epoch 78 | Cost: 2.198793e+00
Epoch 79 | Cost: 2.176543e+00
Epoch 80 | Cost: 2.155091e+00
Epoch 81 | Cost: 2.134595e+00
Epoch 82 | Cost: 2.114903e+00
Epoch 83 | Cost: 2.096031e+00
Epoch 84 | Cost: 2.078211e+00
Epoch 85 | Cost: 2.061590e+00
Epoch 86 | Cost: 2.045780e+00
Epoch 87 | Cost: 2.030511e+00
Epoch 88 | Cost: 2.015616e+00
Epoch 89 | Cost: 2.001087e+00
Epoch 90 | Cost: 1.986873e+00
Epoch 91 | Cost: 1.972907e+00
Epoch 92 | Cost: 1.959068e+00
Epoch 93 | Cost: 1.945229e+00
Epoch 94 | Cost: 1.931248e+00
Epoch 95 | Cost: 1.916907e+00
Epoch 96 | Cost: 1.902082e+00
Epoch 97 | Cost: 1.886618e+00
Epoch 98 | Cost: 1.870410e+00
Epoch 99 | Cost: 1.853415e+00
Epoch 100 | Cost: 1.835666e+00
Epoch 101 | Cost: 1.817233e+00
Epoch 102 | Cost: 1.798232e+00
Epoch 103 | Cost: 1.778568e+00
Epoch 104 | Cost: 1.758233e+00
Epoch 105 | Cost: 1.737404e+00
Epoch 106 | Cost: 1.716299e+00
Epoch 107 | Cost: 1.695104e+00
Epoch 108 | Cost: 1.673955e+00
Epoch 109 | Cost: 1.652884e+00
Epoch 110 | Cost: 1.631961e+00
Epoch 111 | Cost: 1.611192e+00
Epoch 112 | Cost: 1.591022e+00
Epoch 113 | Cost: 1.572057e+00
Epoch 114 | Cost: 1.554880e+00
Epoch 115 | Cost: 1.540136e+00
Epoch 116 | Cost: 1.528403e+00
Epoch 117 | Cost: 1.520636e+00
Epoch 118 | Cost: 1.517477e+00
Epoch 119 | Cost: 1.519867e+00
New learning rate: 0.00800
Epoch 120 | Cost: 1.520573e+00
Epoch 121 | Cost: 1.521542e+00
Epoch 122 | Cost: 1.522729e+00
Epoch 123 | Cost: 1.524104e+00
Epoch 124 | Cost: 1.525638e+00
Epoch 125 | Cost: 1.527303e+00
Epoch 126 | Cost: 1.529082e+00
Epoch 127 | Cost: 1.530940e+00
Epoch 128 | Cost: 1.532869e+00
Epoch 129 | Cost: 1.534872e+00
Epoch 130 | Cost: 1.536933e+00
Epoch 131 | Cost: 1.539054e+00
Epoch 132 | Cost: 1.541242e+00
Epoch 133 | Cost: 1.543489e+00
Epoch 134 | Cost: 1.545786e+00
Epoch 135 | Cost: 1.548148e+00
Epoch 136 | Cost: 1.550564e+00
Epoch 137 | Cost: 1.553049e+00
Epoch 138 | Cost: 1.555595e+00
Epoch 139 | Cost: 1.558226e+00
Epoch 140 | Cost: 1.560924e+00
Epoch 141 | Cost: 1.563674e+00
Epoch 142 | Cost: 1.566452e+00
Epoch 143 | Cost: 1.569275e+00
Epoch 144 | Cost: 1.572153e+00
Epoch 145 | Cost: 1.575054e+00
Epoch 146 | Cost: 1.577999e+00
Epoch 147 | Cost: 1.580991e+00
Epoch 148 | Cost: 1.584066e+00
Epoch 149 | Cost: 1.587234e+00
Epoch 150 | Cost: 1.590520e+00
Epoch 151 | Cost: 1.593908e+00
Epoch 152 | Cost: 1.597392e+00
Epoch 153 | Cost: 1.600997e+00
Epoch 154 | Cost: 1.604753e+00
Epoch 155 | Cost: 1.608720e+00
Epoch 156 | Cost: 1.612878e+00
Epoch 157 | Cost: 1.617229e+00
Epoch 158 | Cost: 1.621777e+00
Epoch 159 | Cost: 1.626504e+00
Epoch 160 | Cost: 1.631435e+00
Epoch 161 | Cost: 1.636548e+00
Epoch 162 | Cost: 1.641805e+00
Epoch 163 | Cost: 1.647241e+00
Epoch 164 | Cost: 1.652835e+00
Epoch 165 | Cost: 1.658564e+00
Epoch 166 | Cost: 1.664445e+00
Epoch 167 | Cost: 1.670426e+00
Epoch 168 | Cost: 1.676530e+00
Epoch 169 | Cost: 1.682753e+00
Epoch 170 | Cost: 1.689092e+00
New learning rate: 0.00080
Epoch 171 | Cost: 1.689734e+00
Epoch 172 | Cost: 1.690384e+00
Epoch 173 | Cost: 1.691038e+00
Epoch 174 | Cost: 1.691696e+00
Epoch 175 | Cost: 1.692358e+00
Epoch 176 | Cost: 1.693024e+00
Epoch 177 | Cost: 1.693691e+00
Epoch 178 | Cost: 1.694360e+00
Epoch 179 | Cost: 1.695030e+00
Epoch 180 | Cost: 1.695698e+00
Epoch 181 | Cost: 1.696366e+00
Epoch 182 | Cost: 1.697036e+00
Epoch 183 | Cost: 1.697707e+00
Epoch 184 | Cost: 1.698376e+00
Epoch 185 | Cost: 1.699045e+00
Epoch 186 | Cost: 1.699712e+00
Epoch 187 | Cost: 1.700377e+00
Epoch 188 | Cost: 1.701042e+00
Epoch 189 | Cost: 1.701707e+00
Epoch 190 | Cost: 1.702378e+00
Epoch 191 | Cost: 1.703049e+00
Epoch 192 | Cost: 1.703718e+00
Epoch 193 | Cost: 1.704386e+00
Epoch 194 | Cost: 1.705053e+00
Epoch 195 | Cost: 1.705721e+00
Epoch 196 | Cost: 1.706388e+00
Epoch 197 | Cost: 1.707060e+00
Epoch 198 | Cost: 1.707737e+00
Epoch 199 | Cost: 1.708413e+00
Epoch 200 | Cost: 1.709087e+00
Epoch 201 | Cost: 1.709762e+00
Epoch 202 | Cost: 1.710435e+00
Epoch 203 | Cost: 1.711106e+00
Epoch 204 | Cost: 1.711776e+00
Epoch 205 | Cost: 1.712445e+00
Epoch 206 | Cost: 1.713117e+00
Epoch 207 | Cost: 1.713791e+00
Epoch 208 | Cost: 1.714469e+00
Epoch 209 | Cost: 1.715149e+00
Epoch 210 | Cost: 1.715827e+00
Epoch 211 | Cost: 1.716506e+00
Epoch 212 | Cost: 1.717184e+00
Epoch 213 | Cost: 1.717862e+00
Epoch 214 | Cost: 1.718540e+00
Epoch 215 | Cost: 1.719220e+00
Epoch 216 | Cost: 1.719900e+00
Epoch 217 | Cost: 1.720581e+00
Epoch 218 | Cost: 1.721261e+00
Epoch 219 | Cost: 1.721941e+00
Epoch 220 | Cost: 1.722622e+00
Epoch 221 | Cost: 1.723303e+00
New learning rate: 0.00008
Epoch 222 | Cost: 1.723371e+00
Epoch 223 | Cost: 1.723439e+00
Epoch 224 | Cost: 1.723507e+00
Epoch 225 | Cost: 1.723575e+00
Epoch 226 | Cost: 1.723643e+00
Epoch 227 | Cost: 1.723712e+00
Epoch 228 | Cost: 1.723780e+00
Epoch 229 | Cost: 1.723849e+00
Epoch 230 | Cost: 1.723918e+00
Epoch 231 | Cost: 1.723987e+00
Epoch 232 | Cost: 1.724056e+00
Epoch 233 | Cost: 1.724125e+00
Epoch 234 | Cost: 1.724194e+00
Epoch 235 | Cost: 1.724263e+00
Epoch 236 | Cost: 1.724332e+00
Epoch 237 | Cost: 1.724401e+00
Epoch 238 | Cost: 1.724470e+00
Epoch 239 | Cost: 1.724539e+00
Epoch 240 | Cost: 1.724608e+00
Epoch 241 | Cost: 1.724676e+00
Epoch 242 | Cost: 1.724745e+00
Epoch 243 | Cost: 1.724814e+00
Epoch 244 | Cost: 1.724883e+00
Epoch 245 | Cost: 1.724952e+00
Epoch 246 | Cost: 1.725021e+00
Epoch 247 | Cost: 1.725090e+00
Epoch 248 | Cost: 1.725159e+00
Epoch 249 | Cost: 1.725228e+00
Epoch 250 | Cost: 1.725297e+00
Epoch 251 | Cost: 1.725365e+00
Epoch 252 | Cost: 1.725434e+00
Epoch 253 | Cost: 1.725503e+00
Epoch 254 | Cost: 1.725572e+00
Epoch 255 | Cost: 1.725641e+00
Epoch 256 | Cost: 1.725710e+00
Epoch 257 | Cost: 1.725779e+00
Epoch 258 | Cost: 1.725847e+00
Epoch 259 | Cost: 1.725915e+00
Epoch 260 | Cost: 1.725983e+00
Epoch 261 | Cost: 1.726051e+00
Epoch 262 | Cost: 1.726119e+00
Epoch 263 | Cost: 1.726187e+00
Epoch 264 | Cost: 1.726255e+00
Epoch 265 | Cost: 1.726323e+00
Epoch 266 | Cost: 1.726391e+00
Epoch 267 | Cost: 1.726459e+00
Epoch 268 | Cost: 1.726527e+00
