       act_type: 'tanh'
         l_rate: 0.8000
          beta1: 0.7000
     numint_its: 100
         epochs: 1000
         d_rate: 0
       int_step: 0.1000
       lr_decay: 1
        buf_win: 10
      ADAPTIT_r: 2
      ADAPTIT_w: 250
    layer_sizes: [400 100 10 10]
       n_layers: 4
            var: [1 1 1 1]
      timestamp: '0306_134302'
          log_f: 3

Epoch 1 | Cost: 2.419330e+00
Epoch 2 | Cost: 2.287452e+00
Epoch 3 | Cost: 2.142881e+00
Epoch 4 | Cost: 2.008774e+00
Epoch 5 | Cost: 1.891523e+00
Epoch 6 | Cost: 1.790598e+00
Epoch 7 | Cost: 1.703617e+00
Epoch 8 | Cost: 1.628118e+00
Epoch 9 | Cost: 1.561857e+00
Epoch 10 | Cost: 1.502846e+00
Epoch 11 | Cost: 1.449562e+00
Epoch 12 | Cost: 1.401019e+00
Epoch 13 | Cost: 1.356620e+00
Epoch 14 | Cost: 1.315950e+00
Epoch 15 | Cost: 1.278654e+00
Epoch 16 | Cost: 1.244419e+00
Epoch 17 | Cost: 1.212981e+00
Epoch 18 | Cost: 1.184108e+00
Epoch 19 | Cost: 1.157568e+00
Epoch 20 | Cost: 1.133100e+00
Epoch 21 | Cost: 1.110407e+00
Epoch 22 | Cost: 1.089176e+00
Epoch 23 | Cost: 1.069112e+00
Epoch 24 | Cost: 1.049967e+00
Epoch 25 | Cost: 1.031560e+00
Epoch 26 | Cost: 1.013772e+00
Epoch 27 | Cost: 9.965375e-01
Epoch 28 | Cost: 9.798214e-01
Epoch 29 | Cost: 9.636053e-01
Epoch 30 | Cost: 9.478768e-01
Epoch 31 | Cost: 9.326240e-01
Epoch 32 | Cost: 9.178351e-01
Epoch 33 | Cost: 9.034985e-01
Epoch 34 | Cost: 8.896037e-01
Epoch 35 | Cost: 8.761414e-01
Epoch 36 | Cost: 8.631040e-01
Epoch 37 | Cost: 8.504851e-01
Epoch 38 | Cost: 8.382792e-01
Epoch 39 | Cost: 8.264819e-01
Epoch 40 | Cost: 8.150895e-01
Epoch 41 | Cost: 8.040992e-01
Epoch 42 | Cost: 7.935092e-01
Epoch 43 | Cost: 7.833185e-01
Epoch 44 | Cost: 7.735266e-01
Epoch 45 | Cost: 7.641334e-01
Epoch 46 | Cost: 7.551385e-01
Epoch 47 | Cost: 7.465411e-01
Epoch 48 | Cost: 7.383394e-01
Epoch 49 | Cost: 7.305303e-01
Epoch 50 | Cost: 7.231094e-01
Epoch 51 | Cost: 7.160705e-01
Epoch 52 | Cost: 7.094058e-01
Epoch 53 | Cost: 7.031062e-01
Epoch 54 | Cost: 6.971610e-01
Epoch 55 | Cost: 6.915580e-01
Epoch 56 | Cost: 6.862842e-01
Epoch 57 | Cost: 6.813256e-01
Epoch 58 | Cost: 6.766675e-01
Epoch 59 | Cost: 6.722945e-01
Epoch 60 | Cost: 6.681910e-01
Epoch 61 | Cost: 6.643412e-01
Epoch 62 | Cost: 6.607294e-01
Epoch 63 | Cost: 6.573399e-01
Epoch 64 | Cost: 6.541574e-01
Epoch 65 | Cost: 6.511669e-01
Epoch 66 | Cost: 6.483541e-01
Epoch 67 | Cost: 6.457053e-01
Epoch 68 | Cost: 6.432073e-01
Epoch 69 | Cost: 6.408479e-01
Epoch 70 | Cost: 6.386157e-01
Epoch 71 | Cost: 6.364998e-01
Epoch 72 | Cost: 6.344905e-01
Epoch 73 | Cost: 6.325786e-01
Epoch 74 | Cost: 6.307560e-01
Epoch 75 | Cost: 6.290149e-01
Epoch 76 | Cost: 6.273487e-01
Epoch 77 | Cost: 6.257511e-01
Epoch 78 | Cost: 6.242167e-01
Epoch 79 | Cost: 6.227404e-01
Epoch 80 | Cost: 6.213179e-01
Epoch 81 | Cost: 6.199451e-01
Epoch 82 | Cost: 6.186187e-01
Epoch 83 | Cost: 6.173354e-01
Epoch 84 | Cost: 6.160924e-01
Epoch 85 | Cost: 6.148874e-01
Epoch 86 | Cost: 6.137181e-01
Epoch 87 | Cost: 6.125824e-01
Epoch 88 | Cost: 6.114786e-01
Epoch 89 | Cost: 6.104050e-01
Epoch 90 | Cost: 6.093603e-01
Epoch 91 | Cost: 6.083431e-01
Epoch 92 | Cost: 6.073521e-01
Epoch 93 | Cost: 6.063862e-01
Epoch 94 | Cost: 6.054444e-01
Epoch 95 | Cost: 6.045257e-01
Epoch 96 | Cost: 6.036293e-01
Epoch 97 | Cost: 6.027541e-01
Epoch 98 | Cost: 6.018995e-01
Epoch 99 | Cost: 6.010647e-01
Epoch 100 | Cost: 6.002490e-01
Epoch 101 | Cost: 5.994517e-01
Epoch 102 | Cost: 5.986721e-01
Epoch 103 | Cost: 5.979096e-01
Epoch 104 | Cost: 5.971636e-01
Epoch 105 | Cost: 5.964336e-01
Epoch 106 | Cost: 5.957190e-01
Epoch 107 | Cost: 5.950194e-01
Epoch 108 | Cost: 5.943341e-01
Epoch 109 | Cost: 5.936627e-01
Epoch 110 | Cost: 5.930048e-01
