       act_type: 'tanh'
         l_rate: 0.9000
          beta1: 0.7500
     numint_its: 100
         epochs: 1000
         d_rate: 0
       int_step: 0.1000
       lr_decay: 1
        buf_win: 10
     ADAPTIT_ri: 4
     ADAPTIT_rs: 2
      ADAPTIT_w: 1250
    layer_sizes: [400 50 50 10 10]
       n_layers: 5
            var: [1 1 1 1 1]
      timestamp: '0322_150311'
          log_f: 3

Epoch 1 | Cost: 2.424256e+00 | Training Set Accuracy: 8.705000
Epoch 2 | Cost: 2.285938e+00 | Training Set Accuracy: 14.765000
Epoch 3 | Cost: 2.181885e+00 | Training Set Accuracy: 18.165000
Epoch 4 | Cost: 2.085369e+00 | Training Set Accuracy: 21.700000
Epoch 5 | Cost: 1.947421e+00 | Training Set Accuracy: 29.133333
Epoch 6 | Cost: 1.786886e+00 | Training Set Accuracy: 44.036667
Epoch 7 | Cost: 1.652091e+00 | Training Set Accuracy: 59.320000
Epoch 8 | Cost: 1.565314e+00 | Training Set Accuracy: 62.280000
Epoch 9 | Cost: 1.513054e+00 | Training Set Accuracy: 59.083333
Epoch 10 | Cost: 1.471928e+00 | Training Set Accuracy: 56.973333
Epoch 11 | Cost: 1.427984e+00 | Training Set Accuracy: 57.293333
Epoch 12 | Cost: 1.378229e+00 | Training Set Accuracy: 59.131667
Epoch 13 | Cost: 1.324965e+00 | Training Set Accuracy: 62.298333
Epoch 14 | Cost: 1.271772e+00 | Training Set Accuracy: 65.636667
Epoch 15 | Cost: 1.222017e+00 | Training Set Accuracy: 68.495000
Epoch 16 | Cost: 1.178073e+00 | Training Set Accuracy: 70.763333
Epoch 17 | Cost: 1.140770e+00 | Training Set Accuracy: 72.240000
Epoch 18 | Cost: 1.109485e+00 | Training Set Accuracy: 73.620000
Epoch 19 | Cost: 1.082830e+00 | Training Set Accuracy: 74.740000
Epoch 20 | Cost: 1.059403e+00 | Training Set Accuracy: 75.900000
Epoch 21 | Cost: 1.038154e+00 | Training Set Accuracy: 76.793333
Epoch 22 | Cost: 1.018363e+00 | Training Set Accuracy: 77.450000
Epoch 23 | Cost: 9.995286e-01 | Training Set Accuracy: 77.901667
Epoch 24 | Cost: 9.813281e-01 | Training Set Accuracy: 78.261667
Epoch 25 | Cost: 9.636492e-01 | Training Set Accuracy: 78.506667
Epoch 26 | Cost: 9.465693e-01 | Training Set Accuracy: 78.761667
Epoch 27 | Cost: 9.302615e-01 | Training Set Accuracy: 78.988333
Epoch 28 | Cost: 9.148790e-01 | Training Set Accuracy: 79.260000
Epoch 29 | Cost: 9.004864e-01 | Training Set Accuracy: 79.465000
Epoch 30 | Cost: 8.870545e-01 | Training Set Accuracy: 79.665000
Epoch 31 | Cost: 8.744967e-01 | Training Set Accuracy: 79.918333
Epoch 32 | Cost: 8.627101e-01 | Training Set Accuracy: 80.171667
Epoch 33 | Cost: 8.516010e-01 | Training Set Accuracy: 80.386667
Epoch 34 | Cost: 8.410931e-01 | Training Set Accuracy: 80.580000
Epoch 35 | Cost: 8.311274e-01 | Training Set Accuracy: 80.800000
Epoch 36 | Cost: 8.216599e-01 | Training Set Accuracy: 81.006667
Epoch 37 | Cost: 8.126611e-01 | Training Set Accuracy: 81.181667
Epoch 38 | Cost: 8.041138e-01 | Training Set Accuracy: 81.338333
Epoch 39 | Cost: 7.960094e-01 | Training Set Accuracy: 81.513333
Epoch 40 | Cost: 7.883431e-01 | Training Set Accuracy: 81.660000
Epoch 41 | Cost: 7.811100e-01 | Training Set Accuracy: 81.768333
Epoch 42 | Cost: 7.743038e-01 | Training Set Accuracy: 81.910000
Epoch 43 | Cost: 7.679174e-01 | Training Set Accuracy: 82.000000
Epoch 44 | Cost: 7.619444e-01 | Training Set Accuracy: 82.093333
Epoch 45 | Cost: 7.563803e-01 | Training Set Accuracy: 82.171667
Epoch 46 | Cost: 7.512221e-01 | Training Set Accuracy: 82.286667
Epoch 47 | Cost: 7.464672e-01 | Training Set Accuracy: 82.406667
Epoch 48 | Cost: 7.421122e-01 | Training Set Accuracy: 82.533333
Epoch 49 | Cost: 7.381511e-01 | Training Set Accuracy: 82.573333
Epoch 50 | Cost: 7.345739e-01 | Training Set Accuracy: 82.641667
Epoch 51 | Cost: 7.313660e-01 | Training Set Accuracy: 82.705000
Epoch 52 | Cost: 7.285077e-01 | Training Set Accuracy: 82.803333
Epoch 53 | Cost: 7.259750e-01 | Training Set Accuracy: 82.911667
Epoch 54 | Cost: 7.237406e-01 | Training Set Accuracy: 82.981667
Epoch 55 | Cost: 7.217752e-01 | Training Set Accuracy: 83.090000
Epoch 56 | Cost: 7.200488e-01 | Training Set Accuracy: 83.168333
Epoch 57 | Cost: 7.185321e-01 | Training Set Accuracy: 83.266667
Epoch 58 | Cost: 7.171967e-01 | Training Set Accuracy: 83.326667
Epoch 59 | Cost: 7.160159e-01 | Training Set Accuracy: 83.426667
Epoch 60 | Cost: 7.149647e-01 | Training Set Accuracy: 83.501667
Epoch 61 | Cost: 7.140193e-01 | Training Set Accuracy: 83.593333
Epoch 62 | Cost: 7.131579e-01 | Training Set Accuracy: 83.638333
Epoch 63 | Cost: 7.123600e-01 | Training Set Accuracy: 83.730000
Epoch 64 | Cost: 7.116072e-01 | Training Set Accuracy: 83.800000
Epoch 65 | Cost: 7.108830e-01 | Training Set Accuracy: 83.856667
Epoch 66 | Cost: 7.101729e-01 | Training Set Accuracy: 83.906667
Epoch 67 | Cost: 7.094649e-01 | Training Set Accuracy: 83.958333
Epoch 68 | Cost: 7.087495e-01 | Training Set Accuracy: 84.003333
Epoch 69 | Cost: 7.080194e-01 | Training Set Accuracy: 84.061667
Epoch 70 | Cost: 7.072698e-01 | Training Set Accuracy: 84.140000
Epoch 71 | Cost: 7.064977e-01 | Training Set Accuracy: 84.198333
Epoch 72 | Cost: 7.057024e-01 | Training Set Accuracy: 84.243333
Epoch 73 | Cost: 7.048846e-01 | Training Set Accuracy: 84.308333
Epoch 74 | Cost: 7.040462e-01 | Training Set Accuracy: 84.353333
Epoch 75 | Cost: 7.031905e-01 | Training Set Accuracy: 84.400000
Epoch 76 | Cost: 7.023213e-01 | Training Set Accuracy: 84.471667
Epoch 77 | Cost: 7.014431e-01 | Training Set Accuracy: 84.505000
Epoch 78 | Cost: 7.005605e-01 | Training Set Accuracy: 84.555000
Epoch 79 | Cost: 6.996782e-01 | Training Set Accuracy: 84.633333
Epoch 80 | Cost: 6.988007e-01 | Training Set Accuracy: 84.648333
Epoch 81 | Cost: 6.979321e-01 | Training Set Accuracy: 84.686667
Epoch 82 | Cost: 6.970763e-01 | Training Set Accuracy: 84.728333
Epoch 83 | Cost: 6.962363e-01 | Training Set Accuracy: 84.758333
Epoch 84 | Cost: 6.954146e-01 | Training Set Accuracy: 84.826667
Epoch 85 | Cost: 6.946132e-01 | Training Set Accuracy: 84.865000
Epoch 86 | Cost: 6.938334e-01 | Training Set Accuracy: 84.903333
Epoch 87 | Cost: 6.930760e-01 | Training Set Accuracy: 84.955000
Epoch 88 | Cost: 6.923414e-01 | Training Set Accuracy: 84.990000
Epoch 89 | Cost: 6.916296e-01 | Training Set Accuracy: 85.013333
Epoch 90 | Cost: 6.909403e-01 | Training Set Accuracy: 85.026667
Epoch 91 | Cost: 6.902728e-01 | Training Set Accuracy: 85.055000
Epoch 92 | Cost: 6.896267e-01 | Training Set Accuracy: 85.073333
Epoch 93 | Cost: 6.890012e-01 | Training Set Accuracy: 85.105000
Epoch 94 | Cost: 6.883957e-01 | Training Set Accuracy: 85.108333
Epoch 95 | Cost: 6.878095e-01 | Training Set Accuracy: 85.125000
Epoch 96 | Cost: 6.872421e-01 | Training Set Accuracy: 85.148333
Epoch 97 | Cost: 6.866931e-01 | Training Set Accuracy: 85.171667
Epoch 98 | Cost: 6.861624e-01 | Training Set Accuracy: 85.205000
Epoch 99 | Cost: 6.856497e-01 | Training Set Accuracy: 85.218333
Epoch 100 | Cost: 6.851552e-01 | Training Set Accuracy: 85.230000
Epoch 101 | Cost: 6.846789e-01 | Training Set Accuracy: 85.258333
Epoch 102 | Cost: 6.842213e-01 | Training Set Accuracy: 85.281667
Epoch 103 | Cost: 6.837828e-01 | Training Set Accuracy: 85.305000
Epoch 104 | Cost: 6.833639e-01 | Training Set Accuracy: 85.308333
Epoch 105 | Cost: 6.829651e-01 | Training Set Accuracy: 85.333333
Epoch 106 | Cost: 6.825873e-01 | Training Set Accuracy: 85.328333
Epoch 107 | Cost: 6.822311e-01 | Training Set Accuracy: 85.340000
Epoch 108 | Cost: 6.818973e-01 | Training Set Accuracy: 85.360000
Epoch 109 | Cost: 6.815866e-01 | Training Set Accuracy: 85.375000
Epoch 110 | Cost: 6.813000e-01 | Training Set Accuracy: 85.390000
Epoch 111 | Cost: 6.810382e-01 | Training Set Accuracy: 85.393333
