       act_type: 'tanh'
         l_rate: 0.9000
          beta1: 0.7500
     numint_its: 75
         epochs: 1000
         d_rate: 0
       int_step: 0.2000
       lr_decay: 1
        buf_win: 10
     ADAPTIT_ri: 2
     ADAPTIT_rs: 1
      ADAPTIT_w: 1250
    layer_sizes: [400 50 10 10]
       n_layers: 4
            var: [1 1 1 1]
      timestamp: '0405_164018'
          log_f: 3

Epoch 1 | Cost: 1.859731e+00 | Training Set Accuracy: 26.968333
Epoch 2 | Cost: 1.247052e+00 | Training Set Accuracy: 62.215000
Epoch 3 | Cost: 9.406276e-01 | Training Set Accuracy: 69.636667
Epoch 4 | Cost: 8.615295e-01 | Training Set Accuracy: 73.703333
Epoch 5 | Cost: 8.795762e-01 | Training Set Accuracy: 72.416667
Epoch 6 | Cost: 8.692244e-01 | Training Set Accuracy: 72.973333
Epoch 7 | Cost: 8.157456e-01 | Training Set Accuracy: 76.020000
Epoch 8 | Cost: 7.897008e-01 | Training Set Accuracy: 77.630000
Epoch 9 | Cost: 7.830191e-01 | Training Set Accuracy: 78.426667
Epoch 10 | Cost: 7.708002e-01 | Training Set Accuracy: 79.186667
Epoch 11 | Cost: 7.510566e-01 | Training Set Accuracy: 79.965000
Epoch 12 | Cost: 7.286446e-01 | Training Set Accuracy: 80.603333
Epoch 13 | Cost: 7.072796e-01 | Training Set Accuracy: 81.245000
Epoch 14 | Cost: 6.889950e-01 | Training Set Accuracy: 81.718333
Epoch 15 | Cost: 6.739777e-01 | Training Set Accuracy: 82.026667
Epoch 16 | Cost: 6.613226e-01 | Training Set Accuracy: 82.306667
Epoch 17 | Cost: 6.499247e-01 | Training Set Accuracy: 82.616667
Epoch 18 | Cost: 6.389941e-01 | Training Set Accuracy: 82.905000
Epoch 19 | Cost: 6.283448e-01 | Training Set Accuracy: 83.301667
Epoch 20 | Cost: 6.182942e-01 | Training Set Accuracy: 83.570000
Epoch 21 | Cost: 6.091890e-01 | Training Set Accuracy: 83.846667
Epoch 22 | Cost: 6.010277e-01 | Training Set Accuracy: 84.008333
Epoch 23 | Cost: 5.935318e-01 | Training Set Accuracy: 84.161667
Epoch 24 | Cost: 5.864379e-01 | Training Set Accuracy: 84.295000
Epoch 25 | Cost: 5.796550e-01 | Training Set Accuracy: 84.421667
Epoch 26 | Cost: 5.732193e-01 | Training Set Accuracy: 84.535000
Epoch 27 | Cost: 5.671814e-01 | Training Set Accuracy: 84.631667
Epoch 28 | Cost: 5.615505e-01 | Training Set Accuracy: 84.705000
Epoch 29 | Cost: 5.563010e-01 | Training Set Accuracy: 84.808333
Epoch 30 | Cost: 5.513954e-01 | Training Set Accuracy: 84.906667
Epoch 31 | Cost: 5.467954e-01 | Training Set Accuracy: 85.005000
Epoch 32 | Cost: 5.424619e-01 | Training Set Accuracy: 85.113333
Epoch 33 | Cost: 5.383560e-01 | Training Set Accuracy: 85.198333
Epoch 34 | Cost: 5.344433e-01 | Training Set Accuracy: 85.285000
Epoch 35 | Cost: 5.306977e-01 | Training Set Accuracy: 85.350000
Epoch 36 | Cost: 5.271022e-01 | Training Set Accuracy: 85.450000
Epoch 37 | Cost: 5.236476e-01 | Training Set Accuracy: 85.495000
Epoch 38 | Cost: 5.203297e-01 | Training Set Accuracy: 85.580000
Epoch 39 | Cost: 5.171455e-01 | Training Set Accuracy: 85.641667
Epoch 40 | Cost: 5.140909e-01 | Training Set Accuracy: 85.710000
Epoch 41 | Cost: 5.111588e-01 | Training Set Accuracy: 85.765000
Epoch 42 | Cost: 5.083404e-01 | Training Set Accuracy: 85.823333
Epoch 43 | Cost: 5.056267e-01 | Training Set Accuracy: 85.891667
Epoch 44 | Cost: 5.030095e-01 | Training Set Accuracy: 85.945000
Epoch 45 | Cost: 5.004822e-01 | Training Set Accuracy: 85.991667
Epoch 46 | Cost: 4.980379e-01 | Training Set Accuracy: 86.028333
Epoch 47 | Cost: 4.956702e-01 | Training Set Accuracy: 86.088333
Epoch 48 | Cost: 4.933741e-01 | Training Set Accuracy: 86.136667
Epoch 49 | Cost: 4.911454e-01 | Training Set Accuracy: 86.196667
Epoch 50 | Cost: 4.889809e-01 | Training Set Accuracy: 86.238333
Epoch 51 | Cost: 4.868780e-01 | Training Set Accuracy: 86.298333
Epoch 52 | Cost: 4.848339e-01 | Training Set Accuracy: 86.336667
Epoch 53 | Cost: 4.828453e-01 | Training Set Accuracy: 86.365000
Epoch 54 | Cost: 4.809091e-01 | Training Set Accuracy: 86.413333
Epoch 55 | Cost: 4.790224e-01 | Training Set Accuracy: 86.443333
Epoch 56 | Cost: 4.771823e-01 | Training Set Accuracy: 86.503333
Epoch 57 | Cost: 4.753863e-01 | Training Set Accuracy: 86.548333
Epoch 58 | Cost: 4.736321e-01 | Training Set Accuracy: 86.596667
Epoch 59 | Cost: 4.719177e-01 | Training Set Accuracy: 86.631667
Epoch 60 | Cost: 4.702414e-01 | Training Set Accuracy: 86.676667
Epoch 61 | Cost: 4.686019e-01 | Training Set Accuracy: 86.706667
Epoch 62 | Cost: 4.669979e-01 | Training Set Accuracy: 86.733333
Epoch 63 | Cost: 4.654280e-01 | Training Set Accuracy: 86.765000
Epoch 64 | Cost: 4.638909e-01 | Training Set Accuracy: 86.808333
Epoch 65 | Cost: 4.623853e-01 | Training Set Accuracy: 86.838333
Epoch 66 | Cost: 4.609099e-01 | Training Set Accuracy: 86.896667
Epoch 67 | Cost: 4.594635e-01 | Training Set Accuracy: 86.950000
Epoch 68 | Cost: 4.580448e-01 | Training Set Accuracy: 86.976667
Epoch 69 | Cost: 4.566529e-01 | Training Set Accuracy: 87.008333
Epoch 70 | Cost: 4.552867e-01 | Training Set Accuracy: 87.046667
Epoch 71 | Cost: 4.539453e-01 | Training Set Accuracy: 87.071667
Epoch 72 | Cost: 4.526279e-01 | Training Set Accuracy: 87.103333
Epoch 73 | Cost: 4.513339e-01 | Training Set Accuracy: 87.141667
Epoch 74 | Cost: 4.500626e-01 | Training Set Accuracy: 87.190000
Epoch 75 | Cost: 4.488131e-01 | Training Set Accuracy: 87.235000
Epoch 76 | Cost: 4.475849e-01 | Training Set Accuracy: 87.250000
Epoch 77 | Cost: 4.463773e-01 | Training Set Accuracy: 87.280000
Epoch 78 | Cost: 4.451897e-01 | Training Set Accuracy: 87.311667
Epoch 79 | Cost: 4.440215e-01 | Training Set Accuracy: 87.335000
Epoch 80 | Cost: 4.428720e-01 | Training Set Accuracy: 87.360000
Epoch 81 | Cost: 4.417408e-01 | Training Set Accuracy: 87.395000
Epoch 82 | Cost: 4.406274e-01 | Training Set Accuracy: 87.440000
Epoch 83 | Cost: 4.395312e-01 | Training Set Accuracy: 87.463333
Epoch 84 | Cost: 4.384519e-01 | Training Set Accuracy: 87.496667
Epoch 85 | Cost: 4.373889e-01 | Training Set Accuracy: 87.538333
Epoch 86 | Cost: 4.363419e-01 | Training Set Accuracy: 87.573333
Epoch 87 | Cost: 4.353104e-01 | Training Set Accuracy: 87.615000
Epoch 88 | Cost: 4.342940e-01 | Training Set Accuracy: 87.641667
Epoch 89 | Cost: 4.332924e-01 | Training Set Accuracy: 87.655000
Epoch 90 | Cost: 4.323053e-01 | Training Set Accuracy: 87.681667
Epoch 91 | Cost: 4.313322e-01 | Training Set Accuracy: 87.708333
Epoch 92 | Cost: 4.303729e-01 | Training Set Accuracy: 87.725000
